Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771610679429,3504,3504,3504,3504,3504,3504,3504,3504,98.99047088623047,88.36842346191406,87.29016876220703,91.50730895996094,82.11602020263672,84.53816986083984,85.9940414428711,85.72927856445313,91.50473022460938,100,100,100,NaN,0,0,0,100,11.801219940185547,8589934592,4294967296,6146736128,2603679744
204,1771610679429,3504,3504,3504,3504,3504,3504,3504,3504,98.99047088623047,88.36842346191406,87.29016876220703,91.50730895996094,82.11602020263672,84.53816986083984,85.9940414428711,85.72927856445313,91.50473022460938,100,100,NaN,100,0,0,0,100,11.801219940185547,8589934592,4294967296,6148440064,2603679744
206,1771610679634,3504,3504,3504,3504,3504,3504,3504,3504,98.99047088623047,88.36842346191406,87.29016876220703,91.50730895996094,82.11602020263672,84.53816986083984,85.9940414428711,85.72927856445313,91.50473022460938,100,100,100,100,10,0,0,90.47618865966797,11.801219940185547,8589934592,4294967296,6147653632,2603679744
209,1771610679841,3504,3504,3504,3504,3504,3504,3504,3504,98.99047088623047,88.36842346191406,87.29016876220703,91.50730895996094,82.11602020263672,84.53816986083984,85.9940414428711,85.72927856445313,91.50473022460938,100,100,100,100,100,0,0,0,11.801219940185547,8589934592,4294967296,6147653632,2603679744
200,1771610680051,3504,3504,3504,3504,3504,3504,3504,3504,88.94856262207031,93.7459716796875,88.40296936035156,86.32740783691406,82.70244598388672,86.37834167480469,88.49897003173828,87.46415710449219,94.93689727783203,100,100,100,100,100,0,0,0,11.801219940185547,8589934592,4294967296,6145998848,2603679744
201,1771610680252,3504,3504,3504,3504,3504,3504,3504,3504,88.94856262207031,93.7459716796875,88.40296936035156,86.32740783691406,82.70244598388672,86.37834167480469,88.49897003173828,87.46415710449219,94.93689727783203,100,100,100,100,100,0,0,0,11.801219940185547,8589934592,4294967296,6142394368,2603679744
202,1771610680454,3504,3504,3504,3504,3504,3504,3504,3504,88.94856262207031,93.7459716796875,88.40296936035156,86.32740783691406,82.70244598388672,86.37834167480469,88.49897003173828,87.46415710449219,94.93689727783203,100,100,100,100,100,0,0,0,13.29885196685791,8589934592,4294967296,6144278528,2603679744
207,1771610680657,3504,3504,3504,3504,3504,3504,3504,3504,88.94856262207031,93.7459716796875,88.40296936035156,86.32740783691406,82.70244598388672,86.37834167480469,88.49897003173828,87.46415710449219,94.93689727783203,100,100,100,100,100,0,0,0,13.29885196685791,8589934592,4294967296,6142967808,2603679744
200,1771610680866,3504,3504,3504,3504,3504,3504,3504,3504,88.94856262207031,93.7459716796875,88.40296936035156,86.32740783691406,82.70244598388672,86.37834167480469,88.49897003173828,87.46415710449219,94.93689727783203,100,100,100,100,100,0,0,0,13.29885196685791,8589934592,4294967296,6142164992,2603679744
208,1771610681067,3504,3504,3504,3504,3504,3504,3504,3504,87.69355773925781,107.69232177734375,96.0239486694336,87.79007720947266,82.90564727783203,78.89373016357422,78.27293395996094,80.21304321289063,80.61119842529297,100,100,100,100,85.71428680419922,0,10,0,13.29885196685791,8589934592,4294967296,6145818624,2603679744
