Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771638424162,3504,3504,3504,3504,3504,3504,3504,3504,80.45779418945313,78.4889144897461,76.9848403930664,77.7524185180664,64.12612915039063,76.57756805419922,76.83488464355469,77.72990417480469,81.13330078125,66.66667175292969,66.66667175292969,100,100,100,100,100,80,19.329864501953125,8589934592,1073741824,5378654208,307429376
204,1771638424162,3504,3504,3504,3504,3504,3504,3504,3504,81.62561798095703,79.93070983886719,78.24185943603516,78.94324493408203,65.20361328125,77.76251983642578,77.99578094482422,79.04364776611328,81.13330078125,66.66667175292969,100,50,66.66667175292969,100,100,75,100,19.329864501953125,8589934592,1073741824,5378670592,307429376
200,1771638424367,3504,3504,3504,3504,3504,3504,3504,3504,81.62561798095703,79.93070983886719,78.24185943603516,78.94324493408203,65.20361328125,77.76251983642578,77.99578094482422,79.04364776611328,81.13330078125,80,76.19047546386719,76.19047546386719,76.19047546386719,90.47618865966797,90,95,90.47618865966797,19.329864501953125,8589934592,1073741824,5384863744,307429376
204,1771638424567,3504,3504,3504,3504,3504,3504,3504,3504,81.62561798095703,79.93070983886719,78.24185943603516,78.94324493408203,65.20361328125,77.76251983642578,77.99578094482422,79.04364776611328,81.13330078125,80,78.94737243652344,75,75,95,94.73684692382813,90,89.47368621826172,19.329864501953125,8589934592,1073741824,5401575424,307429376
204,1771638424772,3504,3504,3504,3504,3504,3504,3504,3504,81.62561798095703,79.93070983886719,78.24185943603516,78.94324493408203,65.20361328125,77.76251983642578,77.99578094482422,79.04364776611328,81.13330078125,80,80,75,80,90.47618865966797,90.47618865966797,95,90.47618865966797,18.920215606689453,8589934592,1073741824,5401362432,307429376
201,1771638424977,3504,3504,3504,3504,3504,3504,3504,3504,81.62561798095703,79.93070983886719,78.24185943603516,78.94324493408203,65.20361328125,77.76251983642578,77.99578094482422,79.04364776611328,81.13330078125,80.95238494873047,76.19047546386719,77.2727279663086,76.19047546386719,95,90.47618865966797,90.47618865966797,89.47368621826172,18.920215606689453,8589934592,1073741824,5417959424,307429376
206,1771638425179,3504,3504,3504,3504,3504,3504,3504,3504,84.14668273925781,82.2350845336914,81.09772491455078,81.87226104736328,66.7546157836914,80.7413101196289,80.90174865722656,81.7229995727539,83.77591705322266,84.21052551269531,80,78.94737243652344,78.94737243652344,90,90,95,86.36363983154297,18.920215606689453,8589934592,1073741824,5417959424,307429376
204,1771638425386,3504,3504,3504,3504,3504,3504,3504,3504,84.14668273925781,82.2350845336914,81.09772491455078,81.87226104736328,66.7546157836914,80.7413101196289,80.90174865722656,81.7229995727539,83.77591705322266,80.95238494873047,80,80,77.2727279663086,90.47618865966797,90.47618865966797,86.36363983154297,89.47368621826172,18.920215606689453,8589934592,1073741824,5417959424,307429376
204,1771638425591,3504,3504,3504,3504,3504,3504,3504,3504,84.14668273925781,82.2350845336914,81.09772491455078,81.87226104736328,66.7546157836914,80.7413101196289,80.90174865722656,81.7229995727539,83.77591705322266,80.95238494873047,80.95238494873047,77.2727279663086,80,90.47618865966797,94.73684692382813,94.73684692382813,90.90909576416016,18.920215606689453,8589934592,1073741824,5417959424,307429376
204,1771638425796,3504,3504,3504,3504,3504,3504,3504,3504,84.14668273925781,82.2350845336914,81.09772491455078,81.87226104736328,66.7546157836914,80.7413101196289,80.90174865722656,81.7229995727539,83.77591705322266,80,80,78.94737243652344,76.19047546386719,90,90.47618865966797,85.71428680419922,85,19.378358840942383,8589934592,1073741824,5162254336,307429376
204,1771638426001,3504,3504,3504,3504,3504,3504,3504,3504,84.14668273925781,82.2350845336914,81.09772491455078,81.87226104736328,66.7546157836914,80.7413101196289,80.90174865722656,81.7229995727539,83.77591705322266,85.71428680419922,80.95238494873047,77.2727279663086,85,95,90.47618865966797,95,85,19.378358840942383,8589934592,1073741824,5164875776,307429376
204,1771638426206,3504,3504,3504,3504,3504,3504,3504,3504,85.20187377929688,83.22911071777344,82.09606170654297,82.97721862792969,67.63726806640625,81.45543670654297,81.590576171875,82.33595275878906,84.3707046508789,85,85,84.21052551269531,85,90.47618865966797,95,90,85.71428680419922,19.378358840942383,8589934592,1073741824,5149425664,307429376
201,1771638426411,3504,3504,3504,3504,3504,3504,3504,3504,85.20187377929688,83.22911071777344,82.09606170654297,82.97721862792969,67.63726806640625,81.45543670654297,81.590576171875,82.33595275878906,84.3707046508789,80.95238494873047,76.19047546386719,80.95238494873047,80.95238494873047,90,95,90.47618865966797,90,19.378358840942383,8589934592,1073741824,5155586048,307429376
204,1771638426612,3504,3504,3504,3504,3504,3504,3504,3504,85.20187377929688,83.22911071777344,82.09606170654297,82.97721862792969,67.63726806640625,81.45543670654297,81.590576171875,82.33595275878906,84.3707046508789,78.94737243652344,85,75,75,90.47618865966797,86.36363983154297,90,85.71428680419922,19.378358840942383,8589934592,1073741824,5150670848,307429376
205,1771638426818,3504,3504,3504,3504,3504,3504,3504,3504,85.20187377929688,83.22911071777344,82.09606170654297,82.97721862792969,67.63726806640625,81.45543670654297,81.590576171875,82.33595275878906,84.3707046508789,80.95238494873047,76.19047546386719,80,80,95,90,90.47618865966797,89.47368621826172,20.797739028930664,8589934592,1073741824,5165400064,307429376
202,1771638427023,3504,3504,3504,3504,3504,3504,3504,3504,85.20187377929688,83.22911071777344,82.09606170654297,82.97721862792969,67.63726806640625,81.45543670654297,81.590576171875,82.33595275878906,84.3707046508789,80,80,76.19047546386719,80,90,95,90,90.47618865966797,20.797739028930664,8589934592,1073741824,5161910272,307429376
