Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771610588775,3504,3504,3504,3504,3504,3504,3504,3504,106.88731384277344,105.09001159667969,102.83792114257813,103.29769897460938,90.37590789794922,102.16047668457031,101.86268615722656,104.56401062011719,106.16974639892578,100,100,100,100,100,66.66667175292969,50,100,20.379541397094727,8589934592,4294967296,6212009984,2637234176
213,1771610588775,3504,3504,3504,3504,3504,3504,3504,3504,106.88731384277344,105.09001159667969,102.83792114257813,103.29769897460938,90.37590789794922,102.16047668457031,101.86268615722656,104.56401062011719,106.16974639892578,100,100,100,NaN,NaN,NaN,100,NaN,20.379541397094727,8589934592,4294967296,6212009984,2637234176
209,1771610588988,3504,3504,3504,3504,3504,3504,3504,3504,107.00505828857422,105.31810760498047,103.1259994506836,103.58938598632813,90.60829162597656,102.81900024414063,102.7258071899414,104.74209594726563,107.13546752929688,100,100,100,100,95.23809814453125,95.23809814453125,95,95.45454406738281,20.379541397094727,8589934592,4294967296,6212009984,2637234176
209,1771610589198,3504,3504,3504,3504,3504,3504,3504,3504,107.00505828857422,105.31810760498047,103.1259994506836,103.58938598632813,90.60829162597656,102.81900024414063,102.7258071899414,104.74209594726563,107.13546752929688,100,100,100,100,90.47618865966797,95.23809814453125,91.30435180664063,95.23809814453125,20.379541397094727,8589934592,4294967296,6212009984,2637234176
210,1771610589408,3504,3504,3504,3504,3504,3504,3504,3504,107.00505828857422,105.31810760498047,103.1259994506836,103.58938598632813,90.60829162597656,102.81900024414063,102.7258071899414,104.74209594726563,107.13546752929688,100,100,100,100,95.45454406738281,86.36363983154297,95,90,20.379541397094727,8589934592,4294967296,6209994752,2637234176
208,1771610589618,3504,3504,3504,3504,3504,3504,3504,3504,107.00505828857422,105.31810760498047,103.1259994506836,103.58938598632813,90.60829162597656,102.81900024414063,102.7258071899414,104.74209594726563,107.13546752929688,100,100,100,100,90.47618865966797,95,95.23809814453125,95.45454406738281,20.140920639038086,8589934592,4294967296,6229262336,2637234176
209,1771610589827,3504,3504,3504,3504,3504,3504,3504,3504,107.00505828857422,105.31810760498047,103.1259994506836,103.58938598632813,90.60829162597656,102.81900024414063,102.7258071899414,104.74209594726563,107.13546752929688,100,100,100,100,95,95.23809814453125,90.47618865966797,95,20.140920639038086,8589934592,4294967296,6218088448,2637234176
214,1771610590037,3504,3504,3504,3504,3504,3504,3504,3504,107.2692642211914,105.71524810791016,103.6430892944336,103.99566650390625,90.8044662475586,103.25599670410156,103.0563735961914,104.86759185791016,107.13810729980469,100,100,100,100,95.45454406738281,95.23809814453125,85.71428680419922,90.90909576416016,20.140920639038086,8589934592,4294967296,6193594368,2637234176
208,1771610590251,3504,3504,3504,3504,3504,3504,3504,3504,107.2692642211914,105.71524810791016,103.6430892944336,103.99566650390625,90.8044662475586,103.25599670410156,103.0563735961914,104.86759185791016,107.13810729980469,100,100,100,100,90,95.23809814453125,90.90909576416016,100,20.140920639038086,8589934592,4294967296,6191874048,2637234176
207,1771610590460,3504,3504,3504,3504,3504,3504,3504,3504,107.2692642211914,105.71524810791016,103.6430892944336,103.99566650390625,90.8044662475586,103.25599670410156,103.0563735961914,104.86759185791016,107.13810729980469,100,100,100,100,90.90909576416016,85.71428680419922,95.23809814453125,90.47618865966797,20.788768768310547,8589934592,4294967296,5929926656,2637234176
