Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771645087042,3504,3504,3504,3504,3504,3504,3504,3504,50.596527099609375,49.82261276245117,48.88664245605469,48.698158264160156,49.043819427490234,48.74311065673828,48.467002868652344,49.63311004638672,49.721073150634766,50,0,0,0,0,0,0,0,3.519472599029541,8589934592,1073741824,5363744768,290652160
207,1771645087042,3504,3504,3504,3504,3504,3504,3504,3504,50.596527099609375,49.82261276245117,48.88664245605469,48.698158264160156,49.043819427490234,48.74311065673828,48.467002868652344,49.63311004638672,49.721073150634766,NaN,0,NaN,50,0,0,0,0,3.519472599029541,8589934592,1073741824,5363744768,290652160
209,1771645087250,3504,3504,3504,3504,3504,3504,3504,3504,49.140560150146484,48.51214599609375,47.33232879638672,47.159698486328125,47.22595977783203,47.199615478515625,46.84825897216797,47.960716247558594,48.103363037109375,33.333335876464844,30.000001907348633,22.72727394104004,30.000001907348633,13.636363983154297,9.523809432983398,0,5,3.519472599029541,8589934592,1073741824,5363744768,290652160
206,1771645087460,3504,3504,3504,3504,3504,3504,3504,3504,49.140560150146484,48.51214599609375,47.33232879638672,47.159698486328125,47.22595977783203,47.199615478515625,46.84825897216797,47.960716247558594,48.103363037109375,33.333335876464844,23.809524536132813,10,14.285715103149414,0,4.545454502105713,0,0,3.519472599029541,8589934592,1073741824,5363744768,290652160
209,1771645087667,3504,3504,3504,3504,3504,3504,3504,3504,49.140560150146484,48.51214599609375,47.33232879638672,47.159698486328125,47.22595977783203,47.199615478515625,46.84825897216797,47.960716247558594,48.103363037109375,25,10,18.18181800842285,9.523809432983398,0,0,0,0,3.519472599029541,8589934592,1073741824,5359484928,290652160
209,1771645087877,3504,3504,3504,3504,3504,3504,3504,3504,49.140560150146484,48.51214599609375,47.33232879638672,47.159698486328125,47.22595977783203,47.199615478515625,46.84825897216797,47.960716247558594,48.103363037109375,23.809524536132813,27.272727966308594,20,10,0,0,0,0,2.6214680671691895,8589934592,1073741824,5342674944,290652160
208,1771645088086,3504,3504,3504,3504,3504,3504,3504,3504,49.140560150146484,48.51214599609375,47.33232879638672,47.159698486328125,47.22595977783203,47.199615478515625,46.84825897216797,47.960716247558594,48.103363037109375,57.142860412597656,55,59.09090805053711,61.904762268066406,71.42857360839844,73.68421173095703,66.66667175292969,70,2.6214680671691895,8589934592,1073741824,5398724608,290652160
216,1771645088296,3504,3504,3504,3504,3504,3504,3504,3504,51.8297004699707,51.07793045043945,49.834571838378906,49.912139892578125,47.1262092590332,50.08959197998047,49.79156494140625,50.55376434326172,51.10110855102539,76.19047546386719,71.42857360839844,70,71.42857360839844,85.71428680419922,86.36363983154297,85.71428680419922,80.95238494873047,2.6214680671691895,8589934592,1073741824,5358436352,290652160
209,1771645088513,3504,3504,3504,3504,3504,3504,3504,3504,51.8297004699707,51.07793045043945,49.834571838378906,49.912139892578125,47.1262092590332,50.08959197998047,49.79156494140625,50.55376434326172,51.10110855102539,71.42857360839844,72.7272720336914,76.19047546386719,69.56521606445313,90.90909576416016,86.36363983154297,90.47618865966797,80.95238494873047,2.6214680671691895,8589934592,1073741824,5373100032,290652160
209,1771645088723,3504,3504,3504,3504,3504,3504,3504,3504,51.8297004699707,51.07793045043945,49.834571838378906,49.912139892578125,47.1262092590332,50.08959197998047,49.79156494140625,50.55376434326172,51.10110855102539,71.42857360839844,70,76.19047546386719,70,90,90,81.81818389892578,85.71428680419922,3.219853639602661,8589934592,1073741824,5374738432,290652160
200,1771645088932,3504,3504,3504,3504,3504,3504,3504,3504,51.8297004699707,51.07793045043945,49.834571838378906,49.912139892578125,47.1262092590332,50.08959197998047,49.79156494140625,50.55376434326172,51.10110855102539,71.42857360839844,68.18181610107422,68.18181610107422,66.66667175292969,86.36363983154297,85.71428680419922,80,81.81818389892578,3.219853639602661,8589934592,1073741824,5384241152,290652160
209,1771645089133,3504,3504,3504,3504,3504,3504,3504,3504,51.8297004699707,51.07793045043945,49.834571838378906,49.912139892578125,47.1262092590332,50.08959197998047,49.79156494140625,50.55376434326172,51.10110855102539,65,70,68.42105102539063,66.66667175292969,85,85.71428680419922,85,89.47368621826172,3.219853639602661,8589934592,1073741824,5371314176,290652160
200,1771645089343,3504,3504,3504,3504,3504,3504,3504,3504,73.96438598632813,72.25064086914063,71.4293441772461,72.0291519165039,58.06012725830078,70.9921875,71.19384002685547,71.43508911132813,73.25520324707031,76.19047546386719,71.42857360839844,71.42857360839844,71.42857360839844,95,85.71428680419922,86.36363983154297,80.95238494873047,3.219853639602661,8589934592,1073741824,5383880704,290652160
205,1771645089543,3504,3504,3504,3504,3504,3504,3504,3504,73.96438598632813,72.25064086914063,71.4293441772461,72.0291519165039,58.06012725830078,70.9921875,71.19384002685547,71.43508911132813,73.25520324707031,80,75,76.19047546386719,72.22222137451172,90.47618865966797,94.73684692382813,85,81.81818389892578,3.219853639602661,8589934592,1073741824,5364432896,290652160
209,1771645089749,3504,3504,3504,3504,3504,3504,3504,3504,73.96438598632813,72.25064086914063,71.4293441772461,72.0291519165039,58.06012725830078,70.9921875,71.19384002685547,71.43508911132813,73.25520324707031,70,68.42105102539063,65,66.66667175292969,85,90,85,78.94737243652344,3.0514934062957764,8589934592,1073741824,5192581120,290652160
209,1771645089959,3504,3504,3504,3504,3504,3504,3504,3504,73.96438598632813,72.25064086914063,71.4293441772461,72.0291519165039,58.06012725830078,70.9921875,71.19384002685547,71.43508911132813,73.25520324707031,68.18181610107422,68.18181610107422,70,66.66667175292969,85.71428680419922,81.81818389892578,85,81.81818389892578,3.0514934062957764,8589934592,1073741824,5207818240,290652160
209,1771645090169,3504,3504,3504,3504,3504,3504,3504,3504,73.96438598632813,72.25064086914063,71.4293441772461,72.0291519165039,58.06012725830078,75.29302978515625,75.42546081542969,75.81103515625,77.5665283203125,71.42857360839844,71.42857360839844,72.7272720336914,72.7272720336914,85.71428680419922,80.95238494873047,90.90909576416016,85.71428680419922,3.0514934062957764,8589934592,1073741824,5207818240,290652160
