Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771645780281,3504,3504,3504,3504,3504,3504,3504,3504,49.48712158203125,48.91532516479492,47.775535583496094,47.46959686279297,47.61541748046875,47.525001525878906,47.223114013671875,48.42127227783203,48.5292854309082,100,NaN,50,0,0,0,0,0,6.164812088012695,8589934592,1073741824,5322047488,290652160
209,1771645780281,3504,3504,3504,3504,3504,3504,3504,3504,49.48712158203125,48.91532516479492,47.775535583496094,47.46959686279297,47.61541748046875,47.525001525878906,47.223114013671875,48.42127227783203,48.5292854309082,0,0,0,100,0,0,0,0,6.164812088012695,8589934592,1073741824,5322719232,290652160
208,1771645780492,3504,3504,3504,3504,3504,3504,3504,3504,49.48712158203125,48.91532516479492,47.775535583496094,47.46959686279297,47.61541748046875,47.525001525878906,47.223114013671875,48.42127227783203,48.5292854309082,20,23.809524536132813,9.523809432983398,9.523809432983398,4.545454502105713,0,0,0,6.164812088012695,8589934592,1073741824,5319688192,290652160
209,1771645780700,3504,3504,3504,3504,3504,3504,3504,3504,49.48712158203125,48.91532516479492,47.775535583496094,47.46959686279297,47.61541748046875,47.525001525878906,47.223114013671875,48.42127227783203,48.5292854309082,36.3636360168457,40,33.333335876464844,35,21.052631378173828,19.047618865966797,19.047618865966797,15.000000953674316,2.1706955432891846,8589934592,1073741824,5319688192,290652160
204,1771645780910,3504,3504,3504,3504,3504,3504,3504,3504,49.48712158203125,48.91532516479492,47.775535583496094,47.46959686279297,47.61541748046875,47.525001525878906,47.223114013671875,48.42127227783203,48.5292854309082,19.047618865966797,22.72727394104004,9.523809432983398,13.636363983154297,4.545454502105713,0,0,0,2.1706955432891846,8589934592,1073741824,5303582720,290652160
207,1771645781115,3504,3504,3504,3504,3504,3504,3504,3504,49.48712158203125,48.91532516479492,47.775535583496094,47.46959686279297,47.61541748046875,47.525001525878906,47.223114013671875,48.42127227783203,48.5292854309082,25,28.571430206298828,10,10,4.761904716491699,0,0,0,2.1706955432891846,8589934592,1073741824,5299093504,290652160
213,1771645781323,3504,3504,3504,3504,3504,3504,3504,3504,48.72992706298828,48.22391891479492,46.85047149658203,46.669891357421875,46.538028717041016,47.023704528808594,46.58306121826172,47.746036529541016,47.92409133911133,71.42857360839844,70,70,65,85.71428680419922,90.47618865966797,90,76.19047546386719,2.1706955432891846,8589934592,1073741824,5391892480,290652160
209,1771645781537,3504,3504,3504,3504,3504,3504,3504,3504,48.72992706298828,48.22391891479492,46.85047149658203,46.669891357421875,46.538028717041016,47.023704528808594,46.58306121826172,47.746036529541016,47.92409133911133,80.95238494873047,71.42857360839844,72.7272720336914,72.7272720336914,90.47618865966797,90.47618865966797,90.47618865966797,85.71428680419922,2.1706955432891846,8589934592,1073741824,5394169856,290652160
207,1771645781747,3504,3504,3504,3504,3504,3504,3504,3504,48.72992706298828,48.22391891479492,46.85047149658203,46.669891357421875,46.538028717041016,47.023704528808594,46.58306121826172,47.746036529541016,47.92409133911133,71.42857360839844,71.42857360839844,71.42857360839844,71.42857360839844,80,90.47618865966797,81.81818389892578,80.95238494873047,3.2554752826690674,8589934592,1073741824,5360730112,290652160
208,1771645781954,3504,3504,3504,3504,3504,3504,3504,3504,48.72992706298828,48.22391891479492,46.85047149658203,46.669891357421875,46.538028717041016,47.023704528808594,46.58306121826172,47.746036529541016,47.92409133911133,66.66667175292969,66.66667175292969,65,65,85.71428680419922,85.71428680419922,80.95238494873047,80.95238494873047,3.2554752826690674,8589934592,1073741824,5357125632,290652160
202,1771645782163,3504,3504,3504,3504,3504,3504,3504,3504,48.72992706298828,48.22391891479492,46.85047149658203,46.669891357421875,46.538028717041016,47.023704528808594,46.58306121826172,47.746036529541016,47.92409133911133,68.42105102539063,66.66667175292969,66.66667175292969,68.18181610107422,80,85.71428680419922,85.71428680419922,80.95238494873047,3.2554752826690674,8589934592,1073741824,5403262976,290652160
207,1771645782365,3504,3504,3504,3504,3504,3504,3504,3504,72.02044677734375,69.8910903930664,69.0865478515625,69.9183120727539,56.37262725830078,68.85609436035156,69.24342346191406,69.36341857910156,71.14448547363281,68.18181610107422,70,66.66667175292969,68.42105102539063,81.81818389892578,90,85.71428680419922,80,3.2554752826690674,8589934592,1073741824,5340692480,290652160
216,1771645782573,3504,3504,3504,3504,3504,3504,3504,3504,72.02044677734375,69.8910903930664,69.0865478515625,69.9183120727539,56.37262725830078,68.85609436035156,69.24342346191406,69.36341857910156,71.14448547363281,75,70,70,71.42857360839844,90,85.71428680419922,89.47368621826172,80.95238494873047,3.2554752826690674,8589934592,1073741824,5113937920,290652160
209,1771645782789,3504,3504,3504,3504,3504,3504,3504,3504,72.02044677734375,69.8910903930664,69.0865478515625,69.9183120727539,56.37262725830078,68.85609436035156,69.24342346191406,69.36341857910156,71.14448547363281,68.18181610107422,71.42857360839844,69.56521606445313,71.42857360839844,90.47618865966797,80.95238494873047,78.26087188720703,85.71428680419922,3.417332410812378,8589934592,1073741824,5095784448,290652160
208,1771645782998,3504,3504,3504,3504,3504,3504,3504,3504,72.02044677734375,69.8910903930664,69.0865478515625,69.9183120727539,56.37262725830078,68.85609436035156,69.24342346191406,69.36341857910156,71.14448547363281,71.42857360839844,72.7272720336914,73.68421173095703,72.7272720336914,86.36363983154297,86.36363983154297,90.47618865966797,86.36363983154297,3.417332410812378,8589934592,1073741824,5119426560,290652160
209,1771645783207,3504,3504,3504,3504,3504,3504,3504,3504,77.49480438232422,75.78351593017578,74.9129409790039,75.56522369384766,61.44646453857422,74.55707550048828,74.84407043457031,74.98799896240234,77.01451110839844,70,71.42857360839844,68.18181610107422,75,90.47618865966797,85.71428680419922,85,85,3.417332410812378,8589934592,1073741824,5117018112,290652160
208,1771645783417,3504,3504,3504,3504,3504,3504,3504,3504,77.49480438232422,75.78351593017578,74.9129409790039,75.56522369384766,61.44646453857422,74.55707550048828,74.84407043457031,74.98799896240234,77.01451110839844,76.19047546386719,71.42857360839844,70,66.66667175292969,85.71428680419922,90.47618865966797,80.95238494873047,80.95238494873047,3.417332410812378,8589934592,1073741824,5153161216,290652160
209,1771645783626,3504,3504,3504,3504,3504,3504,3504,3504,77.49480438232422,75.78351593017578,74.9129409790039,75.56522369384766,61.44646453857422,74.55707550048828,74.84407043457031,74.98799896240234,77.01451110839844,71.42857360839844,70,71.42857360839844,71.42857360839844,95,85,90.47618865966797,80.95238494873047,3.417332410812378,8589934592,1073741824,5120606208,290652160
209,1771645783836,3504,3504,3504,3504,3504,3504,3504,3504,77.49480438232422,75.78351593017578,74.9129409790039,75.56522369384766,61.44646453857422,74.55707550048828,74.84407043457031,74.98799896240234,77.01451110839844,71.42857360839844,66.66667175292969,66.66667175292969,71.42857360839844,81.81818389892578,85.71428680419922,76.19047546386719,85.71428680419922,18.647960662841797,8589934592,1073741824,5091475456,290652160
