Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771787484099,3504,3504,3504,3504,3504,3504,3504,3504,55.44178009033203,54.99759292602539,53.632591247558594,53.68512725830078,53.52115249633789,53.51605987548828,53.175872802734375,54.30506134033203,54.51085662841797,NaN,NaN,0,0,NaN,0,0,0,8.778101921081543,8589934592,2147483648,4930289664,523567104
207,1771787484100,3504,3504,3504,3504,3504,3504,3504,3504,55.44178009033203,54.99759292602539,53.632591247558594,53.68512725830078,53.52115249633789,53.51605987548828,53.175872802734375,54.30506134033203,54.51085662841797,0,0,0,0,0,NaN,0,NaN,8.778101921081543,8589934592,2147483648,4930289664,523567104
209,1771787484308,3504,3504,3504,3504,3504,3504,3504,3504,55.44178009033203,54.99759292602539,53.632591247558594,53.68512725830078,53.52115249633789,53.51605987548828,53.175872802734375,54.30506134033203,54.51085662841797,13.636363983154297,18.18181800842285,5,0,4.761904716491699,0,4.761904716491699,4.545454502105713,8.778101921081543,8589934592,2147483648,4930289664,523567104
209,1771787484518,3504,3504,3504,3504,3504,3504,3504,3504,55.44178009033203,54.99759292602539,53.632591247558594,53.68512725830078,53.52115249633789,53.51605987548828,53.175872802734375,54.30506134033203,54.51085662841797,25,33.333335876464844,30.000001907348633,31.81818199157715,25,25,27.272727966308594,19.047618865966797,8.778101921081543,8589934592,2147483648,4930289664,523567104
200,1771787484728,3504,3504,3504,3504,3504,3504,3504,3504,55.44178009033203,54.99759292602539,53.632591247558594,53.68512725830078,53.52115249633789,53.51605987548828,53.175872802734375,54.30506134033203,54.51085662841797,13.636363983154297,0,9.090909004211426,23.809524536132813,4.545454502105713,4.545454502105713,0,4.545454502105713,11.273188591003418,8589934592,2147483648,4937170944,523567104
201,1771787484929,3504,3504,3504,3504,3504,3504,3504,3504,55.44178009033203,54.99759292602539,53.632591247558594,53.68512725830078,53.52115249633789,53.51605987548828,53.175872802734375,54.30506134033203,54.51085662841797,15.789472579956055,19.047618865966797,10,25,0,0,0,0,11.273188591003418,8589934592,2147483648,4937236480,523567104
202,1771787485131,3504,3504,3504,3504,3504,3504,3504,3504,54.51231002807617,54.159873962402344,52.81581115722656,52.75578308105469,52.63784408569336,52.56928253173828,52.24610137939453,53.46998596191406,53.608970642089844,20,14.285715103149414,10,21.052631378173828,0,0,0,0,11.273188591003418,8589934592,2147483648,4933894144,523567104
208,1771787485334,3504,3504,3504,3504,3504,3504,3504,3504,54.51231002807617,54.159873962402344,52.81581115722656,52.75578308105469,52.63784408569336,52.56928253173828,52.24610137939453,53.46998596191406,53.608970642089844,42.85714340209961,52.6315803527832,35,38.095237731933594,35,38.095237731933594,31.57894515991211,47.36842346191406,11.273188591003418,8589934592,2147483648,4740284416,523567104
210,1771787485543,3504,3504,3504,3504,3504,3504,3504,3504,54.51231002807617,54.159873962402344,52.81581115722656,52.75578308105469,52.63784408569336,52.56928253173828,52.24610137939453,53.46998596191406,53.608970642089844,76.19047546386719,80.95238494873047,71.42857360839844,71.42857360839844,85.71428680419922,85.71428680419922,90.47618865966797,81.81818389892578,11.84128475189209,8589934592,2147483648,4715544576,523567104
210,1771787485753,3504,3504,3504,3504,3504,3504,3504,3504,54.51231002807617,54.159873962402344,52.81581115722656,52.75578308105469,52.63784408569336,52.56928253173828,52.24610137939453,53.46998596191406,53.608970642089844,73.68421173095703,71.42857360839844,71.42857360839844,70,85.71428680419922,85,95.23809814453125,80.95238494873047,11.84128475189209,8589934592,2147483648,4715036672,523567104
205,1771787485963,3504,3504,3504,3504,3504,3504,3504,3504,54.51231002807617,54.159873962402344,52.81581115722656,52.75578308105469,52.63784408569336,52.56928253173828,52.24610137939453,53.46998596191406,53.608970642089844,80.95238494873047,76.19047546386719,71.42857360839844,72.7272720336914,90.47618865966797,85.71428680419922,86.36363983154297,84.21052551269531,11.84128475189209,8589934592,2147483648,4715315200,523567104
209,1771787486169,3504,3504,3504,3504,3504,3504,3504,3504,70.732666015625,69.33121490478516,68.39485168457031,68.99821472167969,58.53795623779297,68.70720672607422,68.63768768310547,69.29485321044922,70.46250915527344,76.19047546386719,70,71.42857360839844,71.42857360839844,85.71428680419922,85.71428680419922,85,85.71428680419922,11.84128475189209,8589934592,2147483648,4700700672,523567104
209,1771787486379,3504,3504,3504,3504,3504,3504,3504,3504,70.732666015625,69.33121490478516,68.39485168457031,68.99821472167969,58.53795623779297,68.70720672607422,68.63768768310547,69.29485321044922,70.46250915527344,68.18181610107422,66.66667175292969,65,66.66667175292969,90,90.47618865966797,81.81818389892578,85.71428680419922,11.84128475189209,8589934592,2147483648,4740710400,523567104
204,1771787486589,3504,3504,3504,3504,3504,3504,3504,3504,70.732666015625,69.33121490478516,68.39485168457031,68.99821472167969,58.53795623779297,68.70720672607422,68.63768768310547,69.29485321044922,70.46250915527344,75,72.7272720336914,76.19047546386719,75,90.47618865966797,81.81818389892578,85,86.36363983154297,17.407346725463867,8589934592,2147483648,4740710400,523567104
209,1771787486793,3504,3504,3504,3504,3504,3504,3504,3504,70.732666015625,69.33121490478516,68.39485168457031,68.99821472167969,58.53795623779297,68.70720672607422,68.63768768310547,69.29485321044922,70.46250915527344,76.19047546386719,70,65,66.66667175292969,85.71428680419922,89.47368621826172,85.71428680419922,85,17.407346725463867,8589934592,2147483648,4733304832,523567104
205,1771787487003,3504,3504,3504,3504,3504,3504,3504,3504,70.732666015625,69.33121490478516,68.39485168457031,68.99821472167969,58.53795623779297,68.70720672607422,68.63768768310547,69.29485321044922,70.46250915527344,68.18181610107422,66.66667175292969,68.18181610107422,65,85.71428680419922,85.71428680419922,80,80.95238494873047,17.407346725463867,8589934592,2147483648,4737155072,523567104
209,1771787487209,3504,3504,3504,3504,3504,3504,3504,3504,82.59211730957031,80.70329284667969,79.87677764892578,80.74964141845703,66.24988555908203,79.59428405761719,79.82546997070313,79.90217590332031,82.19216918945313,73.68421173095703,70,68.42105102539063,66.66667175292969,85.71428680419922,80.95238494873047,90.90909576416016,76.19047546386719,17.407346725463867,8589934592,2147483648,4686364672,523567104
209,1771787487418,3504,3504,3504,3504,3504,3504,3504,3504,82.59211730957031,80.70329284667969,79.87677764892578,80.74964141845703,66.24988555908203,79.59428405761719,79.82546997070313,79.90217590332031,82.19216918945313,71.42857360839844,71.42857360839844,69.56521606445313,71.42857360839844,89.47368621826172,90.47618865966797,85,81.81818389892578,17.407346725463867,8589934592,2147483648,4703387648,523567104
209,1771787487628,3504,3504,3504,3504,3504,3504,3504,3504,82.59211730957031,80.70329284667969,79.87677764892578,80.74964141845703,66.24988555908203,79.59428405761719,79.82546997070313,79.90217590332031,82.19216918945313,77.2727279663086,70,70,71.42857360839844,86.9565200805664,90.47618865966797,80.95238494873047,80,27.081756591796875,8589934592,2147483648,4691148800,523567104
205,1771787487838,3504,3504,3504,3504,3504,3504,3504,3504,82.59211730957031,80.70329284667969,79.87677764892578,80.74964141845703,66.24988555908203,79.59428405761719,79.82546997070313,79.90217590332031,82.19216918945313,75,72.7272720336914,71.42857360839844,68.18181610107422,85.71428680419922,80.95238494873047,90.47618865966797,85.71428680419922,27.081756591796875,8589934592,2147483648,4698112000,523567104
209,1771787488043,3504,3504,3504,3504,3504,3504,3504,3504,85.04579162597656,83.24616241455078,82.43563079833984,83.22288513183594,68.69559478759766,82.31742858886719,82.16746520996094,82.80728149414063,84.40913391113281,71.42857360839844,70,66.66667175292969,70,85,85,85.71428680419922,85,27.081756591796875,8589934592,2147483648,4689903616,523567104
209,1771787488253,3504,3504,3504,3504,3504,3504,3504,3504,85.04579162597656,83.24616241455078,82.43563079833984,83.22288513183594,68.69559478759766,82.31742858886719,82.16746520996094,82.80728149414063,84.40913391113281,76.19047546386719,72.7272720336914,71.42857360839844,71.42857360839844,85.71428680419922,85.71428680419922,80.95238494873047,90.47618865966797,27.081756591796875,8589934592,2147483648,4721377280,523567104
204,1771787488464,3504,3504,3504,3504,3504,3504,3504,3504,85.04579162597656,83.24616241455078,82.43563079833984,83.22288513183594,68.69559478759766,82.31742858886719,82.16746520996094,82.80728149414063,84.40913391113281,75,70,75,70,85,85.71428680419922,95,85.71428680419922,27.081756591796875,8589934592,2147483648,4745035776,523567104
206,1771787488668,3504,3504,3504,3504,3504,3504,3504,3504,85.04579162597656,83.24616241455078,82.43563079833984,83.22288513183594,68.69559478759766,82.31742858886719,82.16746520996094,82.80728149414063,84.40913391113281,80,70,70,71.42857360839844,85.71428680419922,90.47618865966797,85.71428680419922,85.71428680419922,28.71051788330078,8589934592,2147483648,4745035776,523567104
201,1771787488875,3504,3504,3504,3504,3504,3504,3504,3504,85.04579162597656,83.24616241455078,82.43563079833984,83.22288513183594,68.69559478759766,82.31742858886719,82.16746520996094,82.80728149414063,84.40913391113281,68.18181610107422,68.18181610107422,68.18181610107422,65,81.81818389892578,85,90,80.95238494873047,28.71051788330078,8589934592,2147483648,4691378176,523567104
213,1771787489077,3504,3504,3504,3504,3504,3504,3504,3504,86.98947143554688,85.15641784667969,84.35415649414063,85.16790008544922,70.40962982177734,84.39225006103516,84.4158706665039,84.80291748046875,86.91935729980469,75,68.42105102539063,68.42105102539063,71.42857360839844,94.73684692382813,80.95238494873047,86.36363983154297,85,28.71051788330078,8589934592,2147483648,4683563008,523567104
209,1771787489291,3504,3504,3504,3504,3504,3504,3504,3504,86.98947143554688,85.15641784667969,84.35415649414063,85.16790008544922,70.40962982177734,84.39225006103516,84.4158706665039,84.80291748046875,86.91935729980469,77.2727279663086,72.7272720336914,72.7272720336914,66.66667175292969,80.95238494873047,85.71428680419922,85,85.71428680419922,28.71051788330078,8589934592,2147483648,4695375872,523567104
209,1771787489501,3504,3504,3504,3504,3504,3504,3504,3504,86.98947143554688,85.15641784667969,84.35415649414063,85.16790008544922,70.40962982177734,84.39225006103516,84.4158706665039,84.80291748046875,86.91935729980469,75,75,71.42857360839844,76.19047546386719,90.47618865966797,90.47618865966797,90.47618865966797,80.95238494873047,28.71051788330078,8589934592,2147483648,4692377600,523567104
209,1771787489711,3504,3504,3504,3504,3504,3504,3504,3504,86.98947143554688,85.15641784667969,84.35415649414063,85.16790008544922,70.40962982177734,84.39225006103516,84.4158706665039,84.80291748046875,86.91935729980469,71.42857360839844,68.18181610107422,66.66667175292969,61.904762268066406,90.47618865966797,85.71428680419922,80.95238494873047,85,26.63584327697754,8589934592,2147483648,4694097920,523567104
208,1771787489920,3504,3504,3504,3504,3504,3504,3504,3504,86.98947143554688,85.15641784667969,84.35415649414063,85.16790008544922,70.40962982177734,84.39225006103516,84.4158706665039,84.80291748046875,86.91935729980469,75,71.42857360839844,66.66667175292969,71.42857360839844,85.71428680419922,85.71428680419922,85.71428680419922,80.95238494873047,26.63584327697754,8589934592,2147483648,4711579648,523567104
209,1771787490129,3504,3504,3504,3504,3504,3504,3504,3504,88.19351196289063,86.60779571533203,85.70443725585938,86.40284729003906,71.66497039794922,85.60585021972656,85.62120819091797,85.98184204101563,87.98529815673828,66.66667175292969,70,71.42857360839844,70,85.71428680419922,85,90.47618865966797,85.71428680419922,26.63584327697754,8589934592,2147483648,4727848960,523567104
209,1771787490338,3504,3504,3504,3504,3504,3504,3504,3504,88.19351196289063,86.60779571533203,85.70443725585938,86.40284729003906,71.66497039794922,85.60585021972656,85.62120819091797,85.98184204101563,87.98529815673828,76.19047546386719,66.66667175292969,70,68.18181610107422,90,85.71428680419922,85.71428680419922,77.2727279663086,26.63584327697754,8589934592,2147483648,4708122624,523567104
209,1771787490548,3504,3504,3504,3504,3504,3504,3504,3504,88.19351196289063,86.60779571533203,85.70443725585938,86.40284729003906,71.66497039794922,85.60585021972656,85.62120819091797,85.98184204101563,87.98529815673828,14.285715103149414,13.636363983154297,9.090909004211426,0,4.545454502105713,0,0,0,28.425270080566406,8589934592,2147483648,4708122624,523567104
209,1771787490758,3504,3504,3504,3504,3504,3504,3504,3504,88.19351196289063,86.60779571533203,85.70443725585938,86.40284729003906,71.66497039794922,85.60585021972656,85.62120819091797,85.98184204101563,87.98529815673828,14.285715103149414,14.285715103149414,5,13.636363983154297,0,0,0,0,28.425270080566406,8589934592,2147483648,4708122624,523567104
208,1771787490968,3504,3504,3504,3504,3504,3504,3504,3504,88.19351196289063,86.60779571533203,85.70443725585938,86.40284729003906,71.66497039794922,85.60585021972656,85.62120819091797,85.98184204101563,87.98529815673828,23.809524536132813,20,14.285715103149414,10,4.545454502105713,0,0,0,28.425270080566406,8589934592,2147483648,4684087296,523567104
205,1771787491178,3504,3504,3504,3504,3504,3504,3504,3504,72.1800765991211,71.41400146484375,70.22480773925781,70.39521789550781,65.82221984863281,70.18824005126953,69.8114242553711,70.88008117675781,71.72860717773438,20,23.809524536132813,9.523809432983398,9.090909004211426,0,0,0,0,28.425270080566406,8589934592,2147483648,4684152832,523567104
209,1771787491384,3504,3504,3504,3504,3504,3504,3504,3504,72.1800765991211,71.41400146484375,70.22480773925781,70.39521789550781,65.82221984863281,70.18824005126953,69.8114242553711,70.88008117675781,71.72860717773438,23.809524536132813,25,19.047618865966797,10.526315689086914,0,0,0,0,28.425270080566406,8589934592,2147483648,4684038144,523567104
209,1771787491594,3504,3504,3504,3504,3504,3504,3504,3504,72.1800765991211,71.41400146484375,70.22480773925781,70.39521789550781,65.82221984863281,70.18824005126953,69.8114242553711,70.88008117675781,71.72860717773438,15.000000953674316,19.047618865966797,5,9.090909004211426,0,4.545454502105713,0,0,24.626953125,8589934592,2147483648,4684038144,523567104
205,1771787491804,3504,3504,3504,3504,3504,3504,3504,3504,72.1800765991211,71.41400146484375,70.22480773925781,70.39521789550781,65.82221984863281,70.18824005126953,69.8114242553711,70.88008117675781,71.72860717773438,27.272727966308594,14.285715103149414,9.523809432983398,5,0,0,4.545454502105713,0,24.626953125,8589934592,2147483648,4682481664,523567104
209,1771787492010,3504,3504,3504,3504,3504,3504,3504,3504,72.1800765991211,71.41400146484375,70.22480773925781,70.39521789550781,65.82221984863281,70.18824005126953,69.8114242553711,70.88008117675781,71.72860717773438,19.047618865966797,10,9.523809432983398,19.047618865966797,0,0,0,0,24.626953125,8589934592,2147483648,4681203712,523567104
206,1771787492220,3504,3504,3504,3504,3504,3504,3504,3504,58.44554901123047,57.912841796875,56.78937530517578,56.719642639160156,56.881629943847656,56.856773376464844,56.34880828857422,57.57722473144531,57.85874938964844,25,14.285715103149414,14.285715103149414,19.047618865966797,0,0,0,0,24.626953125,8589934592,2147483648,4680826880,523567104
209,1771787492427,3504,3504,3504,3504,3504,3504,3504,3504,58.44554901123047,57.912841796875,56.78937530517578,56.719642639160156,56.881629943847656,56.856773376464844,56.34880828857422,57.57722473144531,57.85874938964844,14.285715103149414,19.047618865966797,9.523809432983398,14.285715103149414,0,0,0,0,24.626953125,8589934592,2147483648,4681105408,523567104
209,1771787492637,3504,3504,3504,3504,3504,3504,3504,3504,58.44554901123047,57.912841796875,56.78937530517578,56.719642639160156,56.881629943847656,56.856773376464844,56.34880828857422,57.57722473144531,57.85874938964844,14.285715103149414,19.047618865966797,9.523809432983398,19.047618865966797,0,0,0,0,8.954211235046387,8589934592,2147483648,4681170944,523567104
209,1771787492847,3504,3504,3504,3504,3504,3504,3504,3504,58.44554901123047,57.912841796875,56.78937530517578,56.719642639160156,56.881629943847656,56.856773376464844,56.34880828857422,57.57722473144531,57.85874938964844,15.000000953674316,14.285715103149414,10,14.285715103149414,0,0,0,0,8.954211235046387,8589934592,2147483648,4681187328,523567104
209,1771787493057,3504,3504,3504,3504,3504,3504,3504,3504,55.7188835144043,55.366451263427734,54.032264709472656,53.956581115722656,54.290977478027344,54.12541198730469,53.759437561035156,54.915157318115234,55.10498809814453,22.72727394104004,14.285715103149414,23.809524536132813,9.523809432983398,0,0,0,0,8.954211235046387,8589934592,2147483648,4681269248,523567104
201,1771787493267,3504,3504,3504,3504,3504,3504,3504,3504,55.7188835144043,55.366451263427734,54.032264709472656,53.956581115722656,54.290977478027344,54.12541198730469,53.759437561035156,54.915157318115234,55.10498809814453,15.000000953674316,10,28.571430206298828,10,0,0,0,0,8.954211235046387,8589934592,2147483648,4681269248,523567104
207,1771787493469,3504,3504,3504,3504,3504,3504,3504,3504,55.7188835144043,55.366451263427734,54.032264709472656,53.956581115722656,54.290977478027344,54.12541198730469,53.759437561035156,54.915157318115234,55.10498809814453,28.571430206298828,20,35,15.000000953674316,0,0,0,0,8.954211235046387,8589934592,2147483648,4679761920,523567104
209,1771787493677,3504,3504,3504,3504,3504,3504,3504,3504,55.7188835144043,55.366451263427734,54.032264709472656,53.956581115722656,54.290977478027344,54.12541198730469,53.759437561035156,54.915157318115234,55.10498809814453,45,38.095237731933594,25,25,0,0,0,0,10.413189888000488,8589934592,2147483648,4681367552,523567104
206,1771787493887,3504,3504,3504,3504,3504,3504,3504,3504,55.7188835144043,55.366451263427734,54.032264709472656,53.956581115722656,54.290977478027344,54.12541198730469,53.759437561035156,54.915157318115234,55.10498809814453,27.272727966308594,27.272727966308594,13.636363983154297,13.636363983154297,0,0,0,0,10.413189888000488,8589934592,2147483648,4678156288,523567104
209,1771787494094,3504,3504,3504,3504,3504,3504,3504,3504,53.93666458129883,53.608489990234375,52.431968688964844,52.28050231933594,52.744991302490234,52.54767608642578,52.13902282714844,53.267452239990234,53.49015426635742,15.789472579956055,25,15.000000953674316,9.523809432983398,0,0,0,0,10.413189888000488,8589934592,2147483648,4673667072,523567104
209,1771787494304,3504,3504,3504,3504,3504,3504,3504,3504,53.93666458129883,53.608489990234375,52.431968688964844,52.28050231933594,52.744991302490234,52.54767608642578,52.13902282714844,53.267452239990234,53.49015426635742,22.72727394104004,33.333335876464844,14.285715103149414,9.523809432983398,0,0,0,0,10.413189888000488,8589934592,2147483648,4673863680,523567104
209,1771787494514,3504,3504,3504,3504,3504,3504,3504,3504,53.93666458129883,53.608489990234375,52.431968688964844,52.28050231933594,52.744991302490234,52.54767608642578,52.13902282714844,53.267452239990234,53.49015426635742,14.285715103149414,23.809524536132813,9.523809432983398,5,4.545454502105713,4.761904716491699,0,0,10.413189888000488,8589934592,2147483648,4673880064,523567104
208,1771787494724,3504,3504,3504,3504,3504,3504,3504,3504,53.93666458129883,53.608489990234375,52.431968688964844,52.28050231933594,52.744991302490234,52.54767608642578,52.13902282714844,53.267452239990234,53.49015426635742,20,14.285715103149414,9.523809432983398,9.090909004211426,0,0,0,0,10.736156463623047,8589934592,2147483648,4673814528,523567104
203,1771787494934,3504,3504,3504,3504,3504,3504,3504,3504,53.93666458129883,53.608489990234375,52.431968688964844,52.28050231933594,52.744991302490234,52.54767608642578,52.13902282714844,53.267452239990234,53.49015426635742,23.809524536132813,19.047618865966797,19.047618865966797,10,0,0,0,0,10.736156463623047,8589934592,2147483648,4673814528,523567104
200,1771787495138,3504,3504,3504,3504,3504,3504,3504,3504,52.925106048583984,52.267024993896484,51.23065948486328,51.21867370605469,51.494171142578125,51.30841827392578,51.020301818847656,52.122154235839844,52.34712219238281,25,21.052631378173828,10,10,4.761904716491699,5,0,0,10.736156463623047,8589934592,2147483648,4674289664,523567104
204,1771787495338,3504,3504,3504,3504,3504,3504,3504,3504,52.925106048583984,52.267024993896484,51.23065948486328,51.21867370605469,51.494171142578125,51.30841827392578,51.020301818847656,52.122154235839844,52.34712219238281,30.000001907348633,28.571430206298828,25,25,20,20,19.047618865966797,19.047618865966797,10.736156463623047,8589934592,2147483648,4686397440,523567104
218,1771787495543,3504,3504,3504,3504,3504,3504,3504,3504,52.925106048583984,52.267024993896484,51.23065948486328,51.21867370605469,51.494171142578125,51.30841827392578,51.020301818847656,52.122154235839844,52.34712219238281,71.42857360839844,71.42857360839844,61.904762268066406,63.6363639831543,90,80.95238494873047,85,75,9.11269474029541,8589934592,2147483648,4713381888,523567104
209,1771787495762,3504,3504,3504,3504,3504,3504,3504,3504,52.925106048583984,52.267024993896484,51.23065948486328,51.21867370605469,51.494171142578125,51.30841827392578,51.020301818847656,52.122154235839844,52.34712219238281,66.66667175292969,66.66667175292969,66.66667175292969,71.42857360839844,90.47618865966797,86.36363983154297,77.2727279663086,77.2727279663086,9.11269474029541,8589934592,2147483648,4704567296,523567104
209,1771787495972,3504,3504,3504,3504,3504,3504,3504,3504,52.925106048583984,52.267024993896484,51.23065948486328,51.21867370605469,51.494171142578125,51.30841827392578,51.020301818847656,52.122154235839844,52.34712219238281,76.19047546386719,75,71.42857360839844,71.42857360839844,86.36363983154297,90.47618865966797,85.71428680419922,86.36363983154297,9.11269474029541,8589934592,2147483648,4703666176,523567104
209,1771787496182,3504,3504,3504,3504,3504,3504,3504,3504,68.56989288330078,67.07816314697266,66.11705017089844,66.74603271484375,57.224056243896484,65.96540832519531,65.96585083007813,66.48438262939453,67.7056655883789,71.42857360839844,71.42857360839844,71.42857360839844,70,86.36363983154297,85,90.47618865966797,84.21052551269531,9.11269474029541,8589934592,2147483648,4702601216,523567104
206,1771787496392,3504,3504,3504,3504,3504,3504,3504,3504,68.56989288330078,67.07816314697266,66.11705017089844,66.74603271484375,57.224056243896484,65.96540832519531,65.96585083007813,66.48438262939453,67.7056655883789,76.19047546386719,76.19047546386719,71.42857360839844,80.95238494873047,90.47618865966797,86.36363983154297,80.95238494873047,81.81818389892578,9.11269474029541,8589934592,2147483648,4729225216,523567104
211,1771787496598,3504,3504,3504,3504,3504,3504,3504,3504,68.56989288330078,67.07816314697266,66.11705017089844,66.74603271484375,57.224056243896484,65.96540832519531,65.96585083007813,66.48438262939453,67.7056655883789,75,71.42857360839844,71.42857360839844,68.18181610107422,85,90.47618865966797,85.71428680419922,90,14.527420043945313,8589934592,2147483648,4732862464,523567104
209,1771787496810,3504,3504,3504,3504,3504,3504,3504,3504,68.56989288330078,67.07816314697266,66.11705017089844,66.74603271484375,57.224056243896484,65.96540832519531,65.96585083007813,66.48438262939453,67.7056655883789,69.56521606445313,71.42857360839844,65,70,90.47618865966797,90.47618865966797,85.71428680419922,80.95238494873047,14.527420043945313,8589934592,2147483648,4732944384,523567104
206,1771787497020,3504,3504,3504,3504,3504,3504,3504,3504,68.56989288330078,67.07816314697266,66.11705017089844,66.74603271484375,66.00760650634766,79.4453125,79.67056274414063,79.88594055175781,81.95682525634766,71.42857360839844,72.7272720336914,68.18181610107422,68.18181610107422,85.71428680419922,85.71428680419922,85.71428680419922,85.71428680419922,14.527420043945313,8589934592,2147483648,4713365504,523567104
207,1771787497227,3504,3504,3504,3504,3504,3504,3504,3504,82.36643981933594,80.49115753173828,79.6086654663086,80.4968032836914,66.00760650634766,79.4453125,79.67056274414063,79.88594055175781,81.95682525634766,75,75,76.19047546386719,75,90,85.71428680419922,85.71428680419922,81.81818389892578,14.527420043945313,8589934592,2147483648,4698456064,523567104
209,1771787497434,3504,3504,3504,3504,3504,3504,3504,3504,82.36643981933594,80.49115753173828,79.6086654663086,80.4968032836914,66.00760650634766,79.4453125,79.67056274414063,79.88594055175781,81.95682525634766,70,66.66667175292969,65,61.904762268066406,85.71428680419922,84.21052551269531,85,85,14.527420043945313,8589934592,2147483648,4738662400,523567104
209,1771787497643,3504,3504,3504,3504,3504,3504,3504,3504,82.36643981933594,80.49115753173828,79.6086654663086,80.4968032836914,66.00760650634766,79.4453125,79.67056274414063,79.88594055175781,81.95682525634766,77.2727279663086,75,71.42857360839844,71.42857360839844,90.47618865966797,86.36363983154297,85.71428680419922,90,26.075607299804688,8589934592,2147483648,4701732864,523567104
209,1771787497854,3504,3504,3504,3504,3504,3504,3504,3504,82.36643981933594,80.49115753173828,79.6086654663086,80.4968032836914,66.00760650634766,79.4453125,79.67056274414063,79.88594055175781,81.95682525634766,80,76.19047546386719,71.42857360839844,75,85.71428680419922,95.23809814453125,80.95238494873047,86.36363983154297,26.075607299804688,8589934592,2147483648,4737777664,523567104
209,1771787498063,3504,3504,3504,3504,3504,3504,3504,3504,85.34404754638672,83.7629165649414,82.68585968017578,83.294677734375,68.89036560058594,82.22312927246094,82.5706558227539,82.83838653564453,85.21648406982422,71.42857360839844,72.7272720336914,71.42857360839844,72.7272720336914,90.47618865966797,80.95238494873047,90.47618865966797,85.71428680419922,26.075607299804688,8589934592,2147483648,4737368064,523567104
