Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771641803179,3504,3504,3504,3504,3504,3504,3504,3504,50.16535949707031,49.387718200683594,48.39537811279297,48.105125427246094,48.30215835571289,48.208106994628906,47.929969787597656,49.15024948120117,49.24562454223633,0,33.333335876464844,0,0,0,0,0,0,6.769023418426514,8589934592,1073741824,5183275008,299040768
209,1771641803179,3504,3504,3504,3504,3504,3504,3504,3504,50.16535949707031,49.387718200683594,48.39537811279297,48.105125427246094,48.30215835571289,48.208106994628906,47.929969787597656,49.15024948120117,49.24562454223633,NaN,0,NaN,100,0,0,0,0,6.769023418426514,8589934592,1073741824,5184241664,299040768
201,1771641803390,3504,3504,3504,3504,3504,3504,3504,3504,50.16535949707031,49.387718200683594,48.39537811279297,48.105125427246094,48.30215835571289,48.208106994628906,47.929969787597656,49.15024948120117,49.24562454223633,22.72727394104004,22.72727394104004,19.047618865966797,9.090909004211426,4.545454502105713,0,0,0,6.769023418426514,8589934592,1073741824,5184471040,299040768
206,1771641803591,3504,3504,3504,3504,3504,3504,3504,3504,50.16535949707031,49.387718200683594,48.39537811279297,48.105125427246094,48.30215835571289,48.208106994628906,47.929969787597656,49.15024948120117,49.24562454223633,20,5.555555820465088,25,5.263157844543457,0,0,0,0,6.769023418426514,8589934592,1073741824,5184126976,299040768
205,1771641803798,3504,3504,3504,3504,3504,3504,3504,3504,50.16535949707031,49.387718200683594,48.39537811279297,48.105125427246094,48.30215835571289,48.208106994628906,47.929969787597656,49.15024948120117,49.24562454223633,23.809524536132813,14.285715103149414,28.571430206298828,14.285715103149414,0,0,0,0,2.1843924522399902,8589934592,1073741824,5184536576,299040768
201,1771641804004,3504,3504,3504,3504,3504,3504,3504,3504,50.16535949707031,49.387718200683594,48.39537811279297,48.105125427246094,48.30215835571289,48.208106994628906,47.929969787597656,49.15024948120117,49.24562454223633,19.047618865966797,15.000000953674316,10,20,0,0,0,0,2.1843924522399902,8589934592,1073741824,5184700416,299040768
209,1771641804205,3504,3504,3504,3504,3504,3504,3504,3504,48.303218841552734,47.8309326171875,46.515159606933594,46.230751037597656,46.653846740722656,46.69037628173828,46.19847106933594,47.29206466674805,47.42967224121094,20,19.047618865966797,15.000000953674316,14.285715103149414,15.789472579956055,9.523809432983398,4.761904716491699,0,2.1843924522399902,8589934592,1073741824,5200658432,299040768
207,1771641804416,3504,3504,3504,3504,3504,3504,3504,3504,48.303218841552734,47.8309326171875,46.515159606933594,46.230751037597656,46.653846740722656,46.69037628173828,46.19847106933594,47.29206466674805,47.42967224121094,40,42.85714340209961,42.85714340209961,38.095237731933594,61.904762268066406,61.904762268066406,52.38095474243164,40,2.1843924522399902,8589934592,1073741824,5173477376,299040768
209,1771641804623,3504,3504,3504,3504,3504,3504,3504,3504,48.303218841552734,47.8309326171875,46.515159606933594,46.230751037597656,46.653846740722656,46.69037628173828,46.19847106933594,47.29206466674805,47.42967224121094,71.42857360839844,75,72.7272720336914,70,90.90909576416016,85.71428680419922,85,85.71428680419922,3.256875991821289,8589934592,1073741824,5155799040,299040768
205,1771641804833,3504,3504,3504,3504,3504,3504,3504,3504,48.303218841552734,47.8309326171875,46.515159606933594,46.230751037597656,46.653846740722656,46.69037628173828,46.19847106933594,47.29206466674805,47.42967224121094,71.42857360839844,71.42857360839844,65,66.66667175292969,90,85.71428680419922,85.71428680419922,80.95238494873047,3.256875991821289,8589934592,1073741824,5154734080,299040768
209,1771641805039,3504,3504,3504,3504,3504,3504,3504,3504,48.303218841552734,47.8309326171875,46.515159606933594,46.230751037597656,46.653846740722656,46.69037628173828,46.19847106933594,47.29206466674805,47.42967224121094,71.42857360839844,65,65,66.66667175292969,85.71428680419922,85,76.19047546386719,80.95238494873047,3.256875991821289,8589934592,1073741824,5130207232,299040768
209,1771641805249,3504,3504,3504,3504,3504,3504,3504,3504,67.36846923828125,65.9344253540039,64.89385986328125,65.26031494140625,54.073123931884766,64.330322265625,64.38886260986328,64.81803131103516,66.18234252929688,71.42857360839844,68.18181610107422,68.18181610107422,66.66667175292969,85.71428680419922,85.71428680419922,85.71428680419922,80.95238494873047,3.256875991821289,8589934592,1073741824,5169233920,299040768
209,1771641805459,3504,3504,3504,3504,3504,3504,3504,3504,67.36846923828125,65.9344253540039,64.89385986328125,65.26031494140625,54.073123931884766,64.330322265625,64.38886260986328,64.81803131103516,66.18234252929688,75,71.42857360839844,71.42857360839844,71.42857360839844,80.95238494873047,85.71428680419922,90.47618865966797,80.95238494873047,3.256875991821289,8589934592,1073741824,5169233920,299040768
