Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_10,CPU_TEMP_11,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
207,1771534855416,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,27.272727966308594,10,0,0,14.285715103149414,9.090909004211426,0,0,0,0,4.761904716491699,0,9.549605369567871,25769803776,7516192768,14772125696,5823070208
208,1771534855624,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,30.000001907348633,19.047618865966797,0,0,10,5,0,0,0,0,0,0,9.549605369567871,25769803776,7516192768,14772305920,5823070208
204,1771534855833,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,23.809524536132813,14.285715103149414,0,0,9.523809432983398,9.090909004211426,0,0,0,0,0,0,9.549605369567871,25769803776,7516192768,14772338688,5823070208
207,1771534856038,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,25,25,0,0,10,5.263157844543457,0,0,0,0,0,0,9.549605369567871,25769803776,7516192768,14768586752,5823070208
208,1771534856246,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,28.571430206298828,19.047618865966797,0,0,14.285715103149414,9.090909004211426,0,0,0,0,0,0,9.549605369567871,25769803776,7516192768,14764310528,5823070208
206,1771534856456,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,20,15.000000953674316,0,0,14.285715103149414,0,0,0,0,0,0,0,7.2738037109375,25769803776,7516192768,14764261376,5823070208
207,1771534856663,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,28.571430206298828,14.285715103149414,0,0,9.523809432983398,4.761904716491699,0,0,0,0,0,0,7.2738037109375,25769803776,7516192768,14763802624,5823070208
202,1771534856871,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,27.272727966308594,23.809524536132813,0,0,5,4.761904716491699,0,0,0,0,0,0,7.2738037109375,25769803776,7516192768,14763786240,5823070208
204,1771534857074,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,21.052631378173828,10,0,0,14.285715103149414,0,0,0,0,0,0,0,7.2738037109375,25769803776,7516192768,14763769856,5823070208
207,1771534857280,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,25,15.000000953674316,0,0,9.523809432983398,9.523809432983398,0,0,0,0,0,0,8.582764625549316,25769803776,7516192768,14759575552,5823070208
207,1771534857488,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,15.000000953674316,15.000000953674316,0,0,5,9.523809432983398,0,0,0,0,0,0,8.582764625549316,25769803776,7516192768,14759591936,5823070208
209,1771534857696,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,27.272727966308594,18.18181800842285,0,0,10,5.263157844543457,0,0,0,0,0,0,8.582764625549316,25769803776,7516192768,14759378944,5823070208
205,1771534857906,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,25,23.809524536132813,0,0,14.285715103149414,9.523809432983398,0,0,0,0,0,0,8.582764625549316,25769803776,7516192768,14760722432,5823070208
207,1771534858113,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,19.047618865966797,20,0,0,9.523809432983398,4.761904716491699,0,0,0,0,0,0,8.582764625549316,25769803776,7516192768,14760361984,5823070208
208,1771534858321,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,25,20,0,0,9.523809432983398,4.761904716491699,0,0,0,0,0,0,8.114501953125,25769803776,7516192768,14747795456,5823070208
207,1771534858529,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,19.047618865966797,14.285715103149414,0,0,10,5,0,0,0,0,0,0,8.114501953125,25769803776,7516192768,14747844608,5823070208
206,1771534858738,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,25,15.000000953674316,0,0,18.18181800842285,9.090909004211426,0,0,0,0,0,0,8.114501953125,25769803776,7516192768,14747828224,5823070208
207,1771534858944,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,28.571430206298828,19.047618865966797,0,0,5.263157844543457,0,0,0,0,0,0,0,8.114501953125,25769803776,7516192768,14747860992,5823070208
204,1771534859153,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,20,15.000000953674316,0,0,13.636363983154297,4.761904716491699,0,0,0,0,0,0,8.114501953125,25769803776,7516192768,14748057600,5823070208
204,1771534859358,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,28.571430206298828,14.285715103149414,0,0,10,9.523809432983398,0,0,0,0,0,0,7.8154168128967285,25769803776,7516192768,14748024832,5823070208
208,1771534859563,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,25,20,0,0,10,0,0,0,0,0,0,0,7.8154168128967285,25769803776,7516192768,14748385280,5823070208
207,1771534859772,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,19.047618865966797,14.285715103149414,0,0,9.523809432983398,9.090909004211426,0,0,0,0,0,0,7.8154168128967285,25769803776,7516192768,14748385280,5823070208
208,1771534859980,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,20,19.047618865966797,0,0,10,4.761904716491699,0,0,0,0,0,0,7.8154168128967285,25769803776,7516192768,14748385280,5823070208
209,1771534860189,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,23.809524536132813,23.809524536132813,0,0,19.047618865966797,9.523809432983398,0,0,0,0,0,0,7.8154168128967285,25769803776,7516192768,14748581888,5823070208
209,1771534860399,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,25,20,14.285715103149414,14.285715103149414,10,5,9.523809432983398,13.636363983154297,10,9.523809432983398,15.000000953674316,14.285715103149414,7.5871477127075195,25769803776,7516192768,14749745152,5823070208
205,1771534860609,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,22.72727394104004,10,0,0,9.090909004211426,9.090909004211426,0,0,0,0,0,4.761904716491699,7.5871477127075195,25769803776,7516192768,14749843456,5823070208
208,1771534860815,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,20,18.18181800842285,0,0,14.285715103149414,5,0,0,0,0,0,0,7.5871477127075195,25769803776,7516192768,14749843456,5823070208
209,1771534861024,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,27.272727966308594,15.000000953674316,0,0,10,0,0,0,0,0,0,0,7.5871477127075195,25769803776,7516192768,14749499392,5823070208
208,1771534861233,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,50,42.85714340209961,31.81818199157715,33.333335876464844,40,40.90909194946289,22.72727394104004,20,23.809524536132813,25,27.272727966308594,23.809524536132813,7.5871477127075195,25769803776,7516192768,15127330816,5823070208
202,1771534861443,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,35,35,0,0,31.81818199157715,15.000000953674316,0,0,0,0,19.047618865966797,10,8.323872566223145,25769803776,7516192768,15135047680,5823070208
