Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_10,CPU_TEMP_11,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771536011534,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,0,50,0,0,50,0,0,0,0,0,0,0,12.456405639648438,25769803776,7516192768,15572205568,5823070208
202,1771536011534,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,NaN,0,0,0,0,0,0,NaN,0,0,0,0,12.456405639648438,25769803776,7516192768,15572205568,5823070208
204,1771536011737,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,30.000001907348633,28.571430206298828,0,0,15.000000953674316,15.000000953674316,0,0,0,0,0,4.761904716491699,12.456405639648438,25769803776,7516192768,15572205568,5823070208
203,1771536011942,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,28.571430206298828,15.789472579956055,0,0,15.000000953674316,5,0,0,0,0,0,0,12.456405639648438,25769803776,7516192768,15572205568,5823070208
201,1771536012146,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,25,14.285715103149414,0,0,10,9.523809432983398,0,0,0,0,4.545454502105713,0,12.456405639648438,25769803776,7516192768,15544827904,5823070208
204,1771536012348,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,35,21.052631378173828,5,0,10,0,0,0,0,0,15.789472579956055,5,16.71192169189453,25769803776,7516192768,15500722176,5823070208
204,1771536012553,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,28.571430206298828,19.047618865966797,10,4.761904716491699,14.285715103149414,9.523809432983398,0,0,0,0,23.809524536132813,14.285715103149414,16.71192169189453,25769803776,7516192768,15270395904,5823070208
203,1771536012758,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,15.000000953674316,15.000000953674316,0,4.545454502105713,15.000000953674316,5,0,0,0,0,5,5,16.71192169189453,25769803776,7516192768,15437103104,5823070208
202,1771536012962,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,21.052631378173828,15.000000953674316,0,0,14.285715103149414,9.090909004211426,0,0,0,0,0,0,16.71192169189453,25769803776,7516192768,15437103104,5823070208
203,1771536013166,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,28.571430206298828,15.000000953674316,0,0,15.000000953674316,5.263157844543457,0,0,0,0,0,0,16.71192169189453,25769803776,7516192768,15437250560,5823070208
201,1771536013370,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,25,23.809524536132813,0,0,5,4.761904716491699,0,0,0,0,0,0,12.495662689208984,25769803776,7516192768,15437217792,5823070208
202,1771536013571,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,30.000001907348633,25,0,0,20,10.526315689086914,0,0,0,0,4.761904716491699,0,12.495662689208984,25769803776,7516192768,15437299712,5823070208
202,1771536013775,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,35,20,9.090909004211426,0,14.285715103149414,19.047618865966797,0,0,0,0,0,4.761904716491699,12.495662689208984,25769803776,7516192768,15376760832,5823070208
204,1771536013977,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,25,15.000000953674316,0,0,10,9.523809432983398,0,0,0,0,0,0,12.495662689208984,25769803776,7516192768,15377383424,5823070208
203,1771536014182,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,25,25,0,0,10.526315689086914,5.263157844543457,0,0,0,0,0,0,12.495662689208984,25769803776,7516192768,15378513920,5823070208
203,1771536014386,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,25,19.047618865966797,0,0,13.636363983154297,4.761904716491699,0,0,0,0,0,0,13.61590576171875,25769803776,7516192768,15378563072,5823070208
204,1771536014591,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,25,21.052631378173828,0,0,10,9.523809432983398,0,0,0,0,0,4.761904716491699,13.61590576171875,25769803776,7516192768,15378513920,5823070208
202,1771536014796,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,28.571430206298828,22.72727394104004,0,0,10,5,0,0,0,0,0,0,13.61590576171875,25769803776,7516192768,15365963776,5823070208
204,1771536014999,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,25,21.052631378173828,0,0,5,0,0,0,0,0,15.000000953674316,0,13.61590576171875,25769803776,7516192768,15350398976,5823070208
201,1771536015204,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,25,19.047618865966797,0,0,9.523809432983398,5,0,0,0,0,0,0,13.61590576171875,25769803776,7516192768,15350448128,5823070208
202,1771536015406,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,30.000001907348633,20,0,0,10,5,0,0,0,0,0,4.761904716491699,13.405319213867188,25769803776,7516192768,15350579200,5823070208
202,1771536015609,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,25,20,0,0,10.526315689086914,4.761904716491699,0,0,0,0,0,0,13.405319213867188,25769803776,7516192768,15348695040,5823070208
203,1771536015812,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,28.571430206298828,15.000000953674316,0,0,14.285715103149414,10,0,0,0,0,0,0,13.405319213867188,25769803776,7516192768,15298281472,5823070208
203,1771536016016,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,21.052631378173828,23.809524536132813,0,0,9.523809432983398,0,0,0,0,0,0,0,13.405319213867188,25769803776,7516192768,15298281472,5823070208
202,1771536016220,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,27.272727966308594,10.526315689086914,0,0,10,9.523809432983398,0,0,0,0,0,0,13.405319213867188,25769803776,7516192768,15289942016,5823070208
203,1771536016422,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,30.000001907348633,25,0,0,15.789472579956055,10,0,0,0,0,0,0,13.230155944824219,25769803776,7516192768,15290286080,5823070208
202,1771536016626,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,21.052631378173828,20,0,0,10,9.523809432983398,0,0,0,0,0,0,13.230155944824219,25769803776,7516192768,15290253312,5823070208
202,1771536016829,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,33.333335876464844,25,0,0,14.285715103149414,5.263157844543457,0,0,0,0,0,0,13.230155944824219,25769803776,7516192768,15265333248,5823070208
203,1771536017032,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,26.3157901763916,15.000000953674316,0,0,10,14.285715103149414,0,0,0,0,0,0,13.230155944824219,25769803776,7516192768,15265447936,5823070208
204,1771536017236,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,23.809524536132813,19.047618865966797,0,0,9.523809432983398,0,0,0,0,0,0,0,13.230155944824219,25769803776,7516192768,15252553728,5823070208
204,1771536017441,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,30.000001907348633,10,0,0,5.263157844543457,4.761904716491699,0,0,0,0,0,0,13.064437866210938,25769803776,7516192768,15252586496,5823070208
202,1771536017646,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,25,15.000000953674316,0,0,14.285715103149414,4.761904716491699,0,0,0,0,0,0,13.064437866210938,25769803776,7516192768,15252619264,5823070208
